"place_id","zipcode","supermarket_type","market_name","latitude","longitude","website_url","property_address","map_url","phone"
"ChIJhWw0HLji9IgR7rTgQCPlpZI","30320","grocery_or_supermarket","International Supermarket","33.6508856","-84.44987639999999","","3827 Main St, College Park, GA 30337, USA","https://maps.google.com/?cid=10567104040269821166","(404) 762-0661"
"ChIJAbesjs7i9IgRZOFDES4HWe8","30320","grocery_or_supermarket","Z Market","33.640973","-84.4440475","","6000 N Terminal Pkwy, Atlanta, GA 30320, USA","https://maps.google.com/?cid=17246824142431576420","(404) 766-0015"
"ChIJTdU_aYP99IgRPbtb5c7AfuI","30320","grocery_or_supermarket","International Food Concepts","33.6597091","-84.39355569999999","http://www.ifcgourmet.com/","3485 Empire Way SW # A, Atlanta, GA 30354, USA","https://maps.google.com/?cid=16320694094481046333","(404) 766-3000"
"ChIJAbesjs7i9IgRGpMzEw5QAxg","30320","grocery_or_supermarket","Hojeij Branded Food","33.640809","-84.4448347","","6000 N Terminal Pkwy, Atlanta, GA 30320, USA","https://maps.google.com/?cid=1730314703222313754","(404) 762-2510"
"ChIJdwz-nD399IgRW_bOSRoFQHQ","30320","grocery_or_supermarket","Global Concessions","33.6407941","-84.42931999999999","http://www.globalconcessions.com/","9770 Spine Rd SW, Atlanta, GA 30320, USA","https://maps.google.com/?cid=8376700917374711387","(404) 209-0907"
"ChIJ95-kZm3j9IgRrO7HeGFyzko","30320","store","Darousalam International Market","33.60434000000001","-84.4712747","","5540 Old National Hwy #2, College Park, GA 30349, USA","https://maps.google.com/?cid=5390371566972825260","(404) 305-8066"
"ChIJZ0fmYDDj9IgRAvpOMLMKhqQ","30320","point_of_interest","United Food & Commercial Workers","33.6137565","-84.4476074","http://www.ufcw.org/","1800 Phoenix Blvd # 310, Atlanta, GA 30349, USA","https://maps.google.com/?cid=11855174833825315330","(770) 997-9910"
"ChIJCf-swIT-9IgRD21NZKkbwhA","30320","grocery_or_supermarket","Lake City International Farmers Market","33.612621","-84.34723099999999","http://www.lakecityfarmersmarket.com/","5226 Jonesboro Rd, Morrow, GA 30260, USA","https://maps.google.com/?cid=1207558064434933007","(404) 366-3233"
"ChIJjyWRQv_89IgR19IjKIDXR4U","30320","grocery_or_supermarket","Market Grocery Co","33.6203728","-84.38874079999999","http://www.marketgrocery.com/","16 Forest Pkwy, Forest Park, GA 30297, USA","https://maps.google.com/?cid=9603881675820094167","(404) 361-8620"
"ChIJm08qexfi9IgRMmPz_joCb70","30320","pharmacy","Publix Pharmacy at Princeton Lakes","33.65638790000001","-84.51077219999999","http://www.publix.com/","3730 Carmia Dr SW Ste 200, Atlanta, GA 30331, USA","https://maps.google.com/?cid=13650131447991984946","(404) 346-9259"
