"place_id","zipcode","place_type","place_name","latitude","longitude","website_url","property_address","map_url","phone"
"ChIJVyQ710vq9IgR7bkPNuAbRsQ","30324","point_of_interest","The Gathering Place","33.3838196","-84.56916029999999","http://www.peachtree-city.org/index.aspx?NID=865","203 McIntosh Trail, Peachtree City, GA 30269, USA","https://maps.google.com/?cid=14143022329597245933","(770) 631-2553"
"ChIJ-WABo8YF9YgRGzy3bsMK7r8","30324","church","Passion City Church","33.8170293","-84.3712484","http://www.passioncitychurch.com/","515 Garson Dr NE, Atlanta, GA 30324, USA","https://maps.google.com/?cid=13830003340193774619","(678) 366-9192"
"ChIJy9vbUswF9YgRaWvBC0C9SL8","30324","church","Rock Spring Presbyterian Church","33.8045944","-84.36795430000001","http://www.rspc.org/","1824 Piedmont Ave NE, Atlanta, GA 30324, USA","https://maps.google.com/?cid=13783474742340184937","(404) 875-7483"
"ChIJ5ajQfdcF9YgRlv8JaB1I9XU","30324","church","New Covenant Church of Atlanta","33.8125723","-84.35714469999999","http://www.newcovenantatlanta.com/","2091 Faulkner Rd NE, Atlanta, GA 30324, USA","https://maps.google.com/?cid=8499779162868416406","(404) 929-1400"
"ChIJk3gCHBMG9YgRMxmeJ8dHbqY","30324","church","Westminster Presbyterian Church","33.82549599999999","-84.341185","http://www.westminster-pca.org/","1438 Sheridan Rd NE, Atlanta, GA 30324, USA","https://maps.google.com/?cid=11992601778422946099","(404) 636-1496"
"ChIJLTikIs4F9YgRJCYO3K4-rIs","30324","church","Cathedral Thrift House","33.8092492","-84.36546729999999","http://www.stphilipscathedral.org/Affiliated-OrganIzations/Cathedral-Thrift-House/","1893 Piedmont Rd NE, Atlanta, GA 30324, USA","https://maps.google.com/?cid=10064488188003362340","(404) 876-5440"
"ChIJb3cgfqQD9YgRT7H3R9LVw0k","30324","church","Destiny World Church","33.8316422","-84.3621048","","764 Miami Cir NE, Atlanta, GA 30324, USA","https://maps.google.com/?cid=5315327084354580815",""
"ChIJe1wklBIG9YgRhFmOalbY1cI","30324","church","West Minster Church","33.824841","-84.34267299999999","http://www.westminster-pca.org/","1406 Sheridan Rd NE, Atlanta, GA 30324, USA","https://maps.google.com/?cid=14039365279063890308","(404) 343-3780"
"ChIJa7b40cwF9YgRpMLOxPQ5XIE","30324","church","Morningside Baptist Church","33.80143","-84.36793999999999","http://morningsideatlanta.org/","1700 Piedmont Ave NE, Atlanta, GA 30324, USA","https://maps.google.com/?cid=9321389052186772132","(404) 876-8225"
"ChIJCTWUrSkE9YgRNeBzpNH-z8E","30324","church","Morningside Presbyterian Church","33.7934695","-84.3562479","http://www.morningsidepc.org/","1411 N Morningside Dr NE, Atlanta, GA 30306, USA","https://maps.google.com/?cid=13965661145859874869","(404) 876-7396"
